,id,Gender,Age,Region_Code,Age,VehicleDamage,Premium,Vintage,Response,Mystery
1,319654,Male,22,46,< 1 Year,Yes,29719,79,0,M3
2,298528,Female,40,28,1-2 Year,Yes,29645,99,0,M20
3,120858,Male,25,28,1-2 Year,Yes,35996,266,1,M3
4,234326,Female,25,29,< 1 Year,No,56899,25,0,M20
5,372307,Female,70,28,1-2 Year,No,47452,189,0,M17
6,212306,Male,41,46,1-2 Year,Yes,19851,219,0,M17
7,33390,Female,53,28,1-2 Year,No,35703,132,0,M16
8,340066,Female,42,28,1-2 Year,No,42202,104,0,M15
9,38791,Male,30,46,< 1 Year,No,23692,275,0,M20
10,139620,Male,53,28,1-2 Year,Yes,42571,203,0,M14
11,289739,Male,79,50,1-2 Year,Yes,31051,198,1,M2
12,172943,Male,41,8,1-2 Year,No,41781,270,0,M10
13,135323,Female,45,28,1-2 Year,No,36552,114,0,M7
14,326947,Female,25,28,< 1 Year,No,2630,72,0,M17
15,229095,Female,39,28,> 2 Years,Yes,43642,243,1,M13
16,213234,Male,48,28,> 2 Years,Yes,38045,37,0,M6
17,345348,Female,46,28,1-2 Year,Yes,32843,52,0,M13
18,22327,Male,43,28,1-2 Year,Yes,25273,211,0,M11
19,142846,Female,29,28,1-2 Year,Yes,38450,270,1,M18
20,369988,Male,46,28,> 2 Years,Yes,38527,56,1,M4
21,291615,Male,24,28,< 1 Year,Yes,2630,28,0,M15
22,304672,Female,41,28,1-2 Year,Yes,33098,36,0,M18
23,75013,Female,23,8,< 1 Year,Yes,44305,148,0,M8
24,227844,Female,52,28,1-2 Year,Yes,34747,197,1,M6
25,96452,Male,62,46,1-2 Year,Yes,48248,200,1,M4
26,61440,Female,34,46,1-2 Year,No,22760,41,0,M17
27,136843,Male,57,50,1-2 Year,Yes,2630,60,0,M5
28,261431,Female,47,28,1-2 Year,No,29838,192,0,M18
29,233588,Female,20,15,< 1 Year,Yes,24769,26,0,M2
30,231562,Male,58,8,1-2 Year,Yes,58639,42,1,M5
31,66212,Female,67,28,1-2 Year,Yes,29916,27,0,M16
32,178063,Male,66,28,> 2 Years,Yes,22488,265,0,M5
33,74259,Female,57,8,1-2 Year,No,38090,268,0,M4
34,167366,Male,46,29,1-2 Year,Yes,33351,215,1,M17
35,366915,Female,29,29,< 1 Year,No,35540,25,0,M12
36,287430,Female,22,8,< 1 Year,Yes,41226,285,0,M11
37,358543,Female,29,30,1-2 Year,Yes,28204,12,1,M1
38,155284,Female,23,30,< 1 Year,No,46717,121,0,M9
39,229637,Female,25,41,< 1 Year,No,30494,246,0,M9
40,353022,Male,46,8,1-2 Year,No,36196,247,0,M19
41,341895,Female,22,46,< 1 Year,No,32397,19,0,M13
42,175995,Female,24,8,< 1 Year,No,42608,163,0,M16
43,244201,Male,33,28,1-2 Year,Yes,32578,81,1,M11
44,37331,Female,47,41,1-2 Year,No,2630,16,0,M18
45,224571,Male,56,28,1-2 Year,Yes,30724,263,0,M1
46,211244,Male,34,8,1-2 Year,Yes,2630,210,1,M5
47,370406,Female,23,28,< 1 Year,No,48177,228,0,M3
48,274963,Female,29,8,< 1 Year,No,37805,103,0,M8
49,166897,Male,41,28,1-2 Year,Yes,111883,115,0,M11
50,210373,Male,28,30,< 1 Year,No,23309,199,0,M13
51,222183,Female,35,11,1-2 Year,Yes,38292,85,1,M12
52,299917,Male,52,8,1-2 Year,No,33765,62,0,M4
53,374545,Male,30,28,< 1 Year,No,37921,39,0,M16
54,171394,Female,44,28,1-2 Year,No,30375,27,0,M10
55,211546,Female,50,3,1-2 Year,No,26461,20,0,M3
56,343201,Male,51,8,1-2 Year,Yes,36081,254,0,M3
57,30681,Female,24,28,< 1 Year,No,76648,80,0,M20
58,331633,Male,58,28,1-2 Year,Yes,54566,57,1,M12
59,134633,Male,24,28,< 1 Year,Yes,35625,181,0,M1
60,370794,Female,22,41,< 1 Year,No,22566,227,0,M19
61,337477,Male,21,46,< 1 Year,No,38809,133,0,M2
62,320833,Male,61,28,1-2 Year,Yes,49770,23,0,M7
63,50884,Male,35,28,1-2 Year,Yes,36307,246,0,M13
64,244922,Female,22,3,< 1 Year,Yes,40504,47,0,M6
65,137798,Female,71,28,1-2 Year,Yes,50733,104,0,M1
66,120524,Male,23,11,< 1 Year,No,27662,63,0,M19
67,69864,Male,24,11,< 1 Year,No,25928,77,0,M4
68,243972,Female,25,28,< 1 Year,No,38361,124,0,M12
69,156969,Male,24,15,< 1 Year,No,40995,154,0,M12
70,263507,Male,48,28,1-2 Year,Yes,39265,19,1,M16
71,206386,Female,25,3,< 1 Year,No,31097,66,0,M19
72,85448,Female,25,41,< 1 Year,Yes,61653,197,0,M5
73,84026,Male,46,28,1-2 Year,No,50303,12,0,M4
74,258079,Female,46,28,1-2 Year,Yes,30078,35,1,M17
75,272239,Male,46,8,1-2 Year,No,82675,267,0,M20
76,257808,Male,48,8,1-2 Year,No,51728,253,0,M18
77,186869,Male,36,28,1-2 Year,Yes,42062,244,1,M18
78,73873,Male,23,46,< 1 Year,No,27361,225,0,M13
79,210297,Female,27,3,< 1 Year,No,26541,195,0,M5
80,336593,Female,32,46,< 1 Year,Yes,39738,152,0,M10
81,285922,Female,42,28,1-2 Year,Yes,37933,230,0,M14
82,142075,Male,38,28,1-2 Year,No,42754,28,0,M5
83,214400,Female,26,15,< 1 Year,No,39652,213,0,M15
84,294089,Female,29,28,< 1 Year,Yes,33982,18,0,M5
85,116234,Female,25,41,< 1 Year,No,30452,203,0,M6
86,297431,Male,30,28,< 1 Year,Yes,42255,110,1,M15
87,240993,Male,43,28,1-2 Year,Yes,45556,221,0,M16
88,56125,Male,23,8,< 1 Year,No,50246,139,0,M12
89,350381,Male,77,46,1-2 Year,No,35304,65,0,M8
90,352243,Female,23,50,< 1 Year,No,2630,122,0,M6
91,146131,Male,43,28,1-2 Year,Yes,49282,174,1,M16
